Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,season,is_playoff
11,Paolo Banchero,PF,21,ORL,7,262,18.9,0.554,0.268,0.329,5.7,20.5,12.8,22.5,1.5,1.4,15.8,33.9,,0.0,0.6,0.6,0.109,,3.3,1.4,4.7,0.4,2024,True
12,Nicolas Batum,PF,35,PHI,6,170,9.4,0.584,0.759,0.276,6.2,16.6,11.6,6.8,0.3,2.5,13.3,10.2,,0.2,0.1,0.2,0.068,,-0.5,0.2,-0.4,0.1,2024,True
13,Bradley Beal,SG,30,PHO,4,154,9.9,0.539,0.39,0.085,4.7,4.0,4.4,20.7,1.0,0.6,17.5,22.6,,-0.1,-0.2,-0.3,-0.078,,-0.3,-3.5,-3.8,-0.1,2024,True
14,Malik Beasley,SG,27,MIL,6,131,12.8,0.646,0.61,0.0,0.9,12.0,6.5,4.5,1.6,0.0,6.8,15.4,,0.2,0.0,0.2,0.077,,-1.1,0.6,-0.5,0.1,2024,True
15,MarJon Beauchamp,SF,23,MIL,4,10,-0.9,0.307,0.5,0.5,0.0,11.2,5.6,27.2,0.0,0.0,17.0,27.0,,-0.1,0.0,-0.1,-0.263,,-11.2,-3.6,-14.8,0.0,2024,True
16,Patrick Beverley,PG,35,MIL,6,210,11.5,0.537,0.282,0.385,2.2,8.6,5.4,20.7,1.5,1.9,11.6,11.3,,0.3,0.1,0.4,0.081,,-1.4,2.1,0.8,0.1,2024,True
17,Goga Bitadze,C,24,ORL,2,10,-0.4,0.0,0.0,0.0,10.7,23.3,16.7,27.2,0.0,0.0,33.3,13.2,,0.0,0.0,0.0,-0.136,,-6.5,1.2,-5.3,0.0,2024,True
18,Anthony Black,PG,20,ORL,2,11,16.2,0.429,0.286,0.0,9.7,10.6,10.1,39.3,4.6,0.0,12.5,31.9,,0.0,0.0,0.0,0.039,,-4.1,3.0,-1.1,0.0,2024,True
19,Bojan BogdanoviÄ,SF,34,NYK,4,51,10.3,0.443,0.625,0.292,2.2,26.3,13.8,11.5,0.0,1.8,3.6,24.3,,0.0,0.0,0.0,0.006,,-0.5,-1.0,-1.5,0.0,2024,True
20,Bol Bol,PF,24,PHO,3,13,5.6,0.333,0.0,0.0,0.0,37.9,18.8,0.0,3.9,0.0,0.0,10.8,,0.0,0.0,0.0,-0.044,,-5.6,-1.2,-6.8,0.0,2024,True
21,Devin Booker,PG,27,PHO,4,166,22.2,0.662,0.308,0.631,0.7,8.9,4.8,26.7,2.2,0.6,11.7,26.6,,0.6,-0.1,0.5,0.145,,4.7,-0.3,4.5,0.3,2024,True
22,Brandon Boston Jr.,SF,22,LAC,3,10,16.0,0.512,0.0,0.5,11.6,11.2,11.4,18.4,0.0,0.0,0.0,22.3,,0.0,0.0,0.0,0.121,,-0.7,-0.1,-0.8,0.0,2024,True
23,Christian Braun,SG,22,DEN,12,204,10.0,0.5,0.333,0.296,4.9,13.2,8.9,6.3,0.5,2.3,1.6,14.0,,0.1,0.2,0.3,0.076,,-1.9,-0.3,-2.2,0.0,2024,True
24,Oshae Brissett,SF,25,BOS,10,55,15.3,0.627,0.182,0.364,6.4,23.3,14.9,0.0,2.8,3.3,7.3,11.6,,0.1,0.1,0.2,0.164,,0.2,2.5,2.7,0.1,2024,True
25,Jaylen Brown,SF,27,BOS,19,707,19.1,0.591,0.324,0.304,3.7,15.0,9.4,15.5,1.7,1.6,11.7,28.6,,0.9,1.1,2.0,0.133,,1.0,0.8,1.8,0.7,2024,True
26,Kendall Brown,SG,20,IND,7,25,-2.2,0.333,0.0,0.0,0.0,13.8,7.0,9.5,0.0,3.7,33.3,16.3,,-0.1,0.0,-0.1,-0.212,,-9.7,-2.5,-12.2,-0.1,2024,True
27,Kobe Brown,PF,24,LAC,3,10,3.9,,,,11.6,11.2,11.4,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.051,,-3.9,-0.8,-4.7,0.0,2024,True
28,Jalen Brunson,PG,27,NYK,13,518,22.1,0.536,0.247,0.353,1.7,8.3,4.9,35.3,1.0,0.4,8.2,36.4,,1.4,-0.1,1.2,0.115,,5.0,-1.2,3.8,0.8,2024,True
29,Thomas Bryant,C,26,MIA,2,18,23.4,0.721,0.286,0.429,12.6,20.2,16.3,12.0,0.0,0.0,19.4,28.1,,0.0,0.0,0.0,0.107,,3.9,0.5,4.4,0.0,2024,True
30,Alec Burks,SG,32,NYK,6,121,26.5,0.694,0.56,0.64,3.7,16.2,9.7,8.1,0.4,0.8,0.0,23.3,,0.7,0.0,0.7,0.285,,6.6,1.7,8.3,0.3,2024,True
31,Kentavious Caldwell-Pope,SG,30,DEN,12,420,8.4,0.534,0.64,0.128,1.3,8.4,4.7,10.1,2.1,1.1,9.9,11.0,,0.1,0.4,0.6,0.067,,-3.1,1.7,-1.4,0.1,2024,True
32,Wendell Carter Jr.,C,24,ORL,7,185,10.5,0.511,0.532,0.234,5.2,22.1,13.3,7.7,1.4,2.0,8.8,13.5,,0.1,0.5,0.5,0.138,,-2.0,1.8,-0.2,0.1,2024,True
33,Amir Coffey,SF,26,LAC,6,112,1.2,0.386,0.5,0.0,2.1,8.0,5.1,2.6,0.9,0.9,18.5,11.0,,-0.2,0.0,-0.2,-0.084,,-6.1,-1.0,-7.1,-0.1,2024,True
34,Mike Conley,PG,36,MIN,15,474,15.0,0.553,0.524,0.193,2.5,12.0,7.3,26.8,2.3,0.6,11.3,17.0,,0.8,0.5,1.3,0.134,,0.5,2.3,2.8,0.6,2024,True
35,Pat Connaughton,SF,31,MIL,6,124,11.7,0.522,0.44,0.08,2.7,18.1,10.5,14.0,2.5,0.8,10.4,10.7,,0.1,0.1,0.2,0.073,,-2.2,2.7,0.5,0.1,2024,True
36,Jae Crowder,PF,33,MIL,4,42,5.5,0.349,0.583,0.167,5.4,10.7,8.1,6.2,0.0,4.7,0.0,14.1,,0.0,0.0,0.0,-0.033,,-6.1,-1.7,-7.8,-0.1,2024,True
37,Dyson Daniels,PG,20,NOP,3,17,4.4,0.333,0.333,0.0,0.0,13.9,6.4,0.0,6.0,0.0,14.3,18.0,,-0.1,0.0,0.0,-0.107,,-6.8,2.3,-4.6,0.0,2024,True
38,Anthony Davis,C,30,LAL,5,208,26.9,0.665,0.054,0.28,8.2,32.7,20.8,16.5,0.5,3.3,9.5,25.6,,0.7,0.3,1.0,0.239,,4.6,2.7,7.3,0.5,2024,True
39,Mamadi Diakite,PF,27,NYK,4,15,2.1,0.258,0.667,0.667,0.0,24.4,11.7,8.1,3.5,6.1,20.5,14.3,,-0.1,0.0,0.0,-0.101,,-12.0,4.0,-8.0,0.0,2024,True
40,Ousmane Dieng,PF,20,OKC,4,7,5.4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,0.021,,-3.1,-1.7,-4.8,0.0,2024,True
41,Spencer Dinwiddie,PG,30,LAL,5,73,7.5,0.451,0.571,0.429,1.6,8.9,5.3,13.7,1.4,1.2,5.7,11.2,,0.0,0.1,0.1,0.041,,-3.3,1.7,-1.5,0.0,2024,True
42,Donte DiVincenzo,SG,27,NYK,13,466,15.7,0.566,0.555,0.157,3.1,10.2,6.5,11.2,1.8,2.4,7.3,20.8,,0.8,0.1,0.9,0.093,,1.7,0.4,2.0,0.5,2024,True
43,Luka DonÄiÄ,PG,24,DAL,22,900,22.5,0.556,0.419,0.304,2.1,24.2,13.2,35.3,2.4,0.9,13.6,33.4,,1.3,1.5,2.8,0.149,,5.1,2.4,7.6,2.2,2024,True
44,Luguentz Dort,SF,24,OKC,10,350,9.6,0.538,0.703,0.209,6.2,8.2,7.3,7.9,1.9,0.5,10.0,14.4,,0.2,0.6,0.8,0.111,,-1.8,1.3,-0.5,0.1,2024,True
45,Kevin Durant,PF,35,PHO,4,168,20.9,0.653,0.179,0.507,0.7,18.3,9.4,15.1,0.6,3.3,10.9,25.7,,0.4,-0.1,0.3,0.093,,4.9,-1.0,3.8,0.2,2024,True
46,Anthony Edwards,SG,22,MIN,16,649,22.5,0.598,0.355,0.315,3.3,17.1,10.2,28.3,1.9,1.3,12.4,29.5,,1.5,0.8,2.3,0.172,,4.6,2.1,6.7,1.4,2024,True
47,Joel Embiid,C,29,PHI,6,248,26.3,0.592,0.293,0.586,9.0,20.1,14.8,26.4,1.5,3.1,13.0,35.7,,0.7,0.3,1.0,0.193,,6.8,1.6,8.4,0.7,2024,True
48,Drew Eubanks,C,26,PHO,3,37,13.1,0.638,0.0,0.25,0.0,13.3,6.6,0.0,2.8,2.5,13.1,19.4,,0.0,0.0,0.0,0.007,,-2.8,1.1,-1.7,0.0,2024,True
49,DantÃ© Exum,PG,28,DAL,21,144,7.7,0.461,0.455,0.136,2.4,11.1,6.8,11.9,1.1,0.7,9.7,16.3,,-0.1,0.1,0.1,0.024,,-2.6,-0.5,-3.1,0.0,2024,True
50,Markelle Fultz,PG,25,ORL,7,106,12.6,0.593,0.029,0.265,7.0,7.7,7.4,13.8,1.4,0.0,17.4,19.0,,0.0,0.2,0.2,0.113,,-3.1,1.5,-1.6,0.0,2024,True
51,Daniel Gafford,PF,25,DAL,22,445,20.4,0.65,0.0,0.528,10.9,20.4,15.7,5.3,0.7,7.1,11.1,17.4,,1.0,0.7,1.7,0.187,,1.5,1.2,2.7,0.5,2024,True
52,Danilo Gallinari,SF,35,MIL,3,37,11.5,0.564,0.25,0.5,3.1,24.3,13.7,7.4,0.0,0.0,9.3,13.4,,0.0,0.0,0.0,0.054,,-3.6,-0.5,-4.0,0.0,2024,True
53,Darius Garland,PG,24,CLE,12,432,12.4,0.522,0.415,0.123,0.3,11.1,5.7,26.2,1.6,0.5,13.0,22.3,,-0.1,0.4,0.3,0.037,,-0.9,0.0,-0.9,0.1,2024,True
54,Luka Garza,C,25,MIN,7,26,48.4,0.934,0.25,0.667,9.1,18.2,13.7,9.1,0.0,0.0,0.0,27.2,,0.3,0.0,0.3,0.518,,19.7,4.6,24.3,0.2,2024,True
55,Paul George,PF,33,LAC,6,222,16.1,0.552,0.516,0.263,1.6,19.2,10.5,23.0,1.7,1.4,11.7,24.7,,0.2,0.2,0.4,0.092,,1.8,1.4,3.2,0.3,2024,True
56,Josh Giddey,SG,21,OKC,10,181,14.8,0.554,0.453,0.107,4.4,17.1,11.0,18.3,0.6,2.1,13.3,22.8,,0.1,0.3,0.4,0.101,,1.4,0.9,2.3,0.2,2024,True
57,Shai Gilgeous-Alexander,PG,25,OKC,10,399,25.5,0.582,0.165,0.362,2.3,17.1,10.0,29.6,1.7,4.0,7.8,32.2,,1.1,0.9,1.9,0.233,,5.9,3.3,9.2,1.1,2024,True
58,Rudy Gobert,C,31,MIN,15,512,16.2,0.652,0.0,0.76,9.3,24.7,17.0,6.9,1.4,2.8,14.2,14.4,,1.0,0.7,1.7,0.16,,-1.0,2.1,1.1,0.4,2024,True
59,Aaron Gordon,PF,28,DEN,12,445,18.2,0.66,0.229,0.237,8.9,13.4,11.1,18.2,1.2,1.5,12.1,15.3,,1.2,0.4,1.6,0.175,,3.1,1.4,4.5,0.7,2024,True
60,Eric Gordon,SG,35,PHO,4,118,7.6,0.508,0.607,0.286,1.0,6.3,3.6,6.4,2.2,1.6,11.3,14.1,,-0.1,-0.1,-0.1,-0.053,,-1.2,-1.1,-2.3,0.0,2024,True
61,A.J. Green,SG,24,MIL,6,67,4.4,0.491,0.688,0.188,0.0,15.1,7.6,4.0,0.0,0.0,5.5,12.6,,0.0,0.0,0.0,-0.009,,-7.4,-2.1,-9.5,-0.1,2024,True
62,Josh Green,SG,23,DAL,22,399,12.0,0.584,0.694,0.224,6.1,10.0,8.0,8.0,2.2,0.7,7.0,11.4,,0.6,0.4,1.1,0.13,,0.3,2.1,2.4,0.4,2024,True
63,Rui Hachimura,PF,25,LAL,5,152,5.8,0.47,0.368,0.211,4.5,9.2,6.9,3.4,0.0,0.0,4.6,13.2,,0.0,0.0,0.0,0.0,,-3.3,-2.3,-5.6,-0.1,2024,True
64,Tyrese Haliburton,PG,23,IND,15,522,22.0,0.626,0.651,0.093,2.8,13.2,8.1,32.7,1.9,1.8,12.2,22.1,,1.6,0.3,1.8,0.169,,6.4,-0.3,6.2,1.1,2024,True
65,Tim Hardaway Jr.,SF,31,DAL,14,178,9.1,0.496,0.638,0.138,1.3,14.7,8.0,4.1,1.5,0.5,3.1,16.2,,0.0,0.2,0.2,0.056,,-2.1,0.4,-1.7,0.0,2024,True
66,James Harden,PG,34,LAC,6,242,20.5,0.616,0.528,0.36,1.4,11.1,6.4,34.3,1.3,2.5,12.0,22.1,,0.8,0.1,0.9,0.173,,6.0,1.6,7.7,0.6,2024,True
67,Jaden Hardy,SG,21,DAL,19,129,16.1,0.536,0.397,0.221,1.8,11.5,6.7,22.5,1.2,0.0,8.6,28.8,,0.1,0.1,0.3,0.095,,1.0,0.0,1.0,0.1,2024,True
68,Gary Harris,SG,29,ORL,6,159,4.9,0.433,0.786,0.071,3.4,5.1,4.2,3.7,2.2,1.8,6.5,8.5,,0.0,0.4,0.3,0.096,,-4.7,2.7,-2.0,0.0,2024,True
69,Tobias Harris,PF,31,PHI,6,218,9.0,0.512,0.353,0.078,4.8,16.9,11.1,6.3,0.2,1.2,5.4,11.8,,0.1,0.1,0.2,0.051,,-1.5,-1.4,-2.9,-0.1,2024,True
70,Josh Hart,SF,28,NYK,13,548,14.1,0.552,0.393,0.32,7.6,25.2,16.0,15.3,1.2,1.7,16.6,16.5,,0.5,0.2,0.8,0.069,,-0.6,1.5,0.9,0.4,2024,True
71,Isaiah Hartenstein,C,25,NYK,13,388,16.4,0.642,0.026,0.289,14.2,16.7,15.4,16.8,0.5,2.8,18.2,11.9,,1.0,0.0,1.0,0.126,,-0.1,1.4,1.3,0.3,2024,True
72,Sam Hauser,SF,26,BOS,19,283,12.1,0.601,0.845,0.048,3.3,13.6,8.5,5.7,0.9,1.0,3.4,14.6,,0.4,0.4,0.8,0.136,,0.7,0.4,1.1,0.2,2024,True
73,Jordan Hawkins,SG,21,NOP,3,12,-12.4,0.0,0.75,0.0,0.0,19.6,9.0,0.0,0.0,0.0,0.0,14.6,,-0.1,0.0,-0.1,-0.322,,-14.8,-5.4,-20.2,-0.1,2024,True
74,Jaxson Hayes,C,23,LAL,4,24,0.0,0.174,0.0,1.0,14.2,40.5,27.7,4.8,0.0,0.0,41.0,9.4,,-0.1,0.0,0.0,-0.05,,-11.6,-0.7,-12.3,-0.1,2024,True
75,Gordon Hayward,SF,33,OKC,7,46,5.0,0.0,0.0,0.0,2.5,27.8,15.6,7.9,1.1,2.1,0.0,3.0,,0.0,0.1,0.1,0.078,,-5.3,3.4,-1.9,0.0,2024,True
76,Tyler Herro,SG,24,MIA,5,185,10.2,0.51,0.551,0.128,0.0,11.8,5.7,25.2,0.6,0.0,14.5,25.5,,-0.3,0.0,-0.2,-0.059,,-0.6,-0.8,-1.4,0.0,2024,True
77,Buddy Hield,SG,31,PHI,4,51,11.4,0.615,0.765,0.118,4.6,6.4,5.5,6.3,0.0,1.7,10.1,18.0,,0.1,0.0,0.1,0.058,,1.5,-2.8,-1.3,0.0,2024,True
78,Haywood Highsmith,PF,27,MIA,5,126,3.4,0.422,0.571,0.036,1.8,11.5,6.5,9.6,0.4,0.9,12.3,12.6,,-0.2,0.0,-0.2,-0.06,,-6.4,0.0,-6.4,-0.1,2024,True
79,Jrue Holiday,PG,33,BOS,19,720,15.4,0.617,0.451,0.114,6.1,12.8,9.5,17.0,1.5,1.5,12.5,15.0,,1.5,1.0,2.5,0.167,,1.1,1.6,2.8,0.9,2024,True
80,Justin Holiday,SG,34,DEN,12,150,5.3,0.476,0.829,0.114,0.7,14.8,7.6,3.6,2.1,0.0,7.5,12.2,,-0.1,0.2,0.1,0.021,,-4.8,0.9,-3.9,-0.1,2024,True
81,Chet Holmgren,C,21,OKC,10,345,16.4,0.584,0.42,0.277,4.7,17.9,11.5,9.4,1.0,6.8,12.5,20.2,,0.2,0.8,1.0,0.14,,-0.3,2.5,2.1,0.4,2024,True
82,Al Horford,C,37,BOS,19,575,15.0,0.609,0.688,0.08,7.2,19.9,13.6,9.9,1.4,2.6,7.7,12.5,,1.1,1.0,2.0,0.17,,1.4,1.6,3.1,0.7,2024,True
83,Caleb Houstan,SF,21,ORL,3,14,9.9,0.75,1.0,0.0,7.6,8.3,8.0,0.0,0.0,0.0,0.0,6.3,,0.0,0.0,0.1,0.173,,1.4,0.6,1.9,0.0,2024,True
84,Jett Howard,SF,20,ORL,2,10,9.0,0.833,0.333,0.0,0.0,11.7,5.6,18.7,0.0,0.0,40.0,21.9,,0.0,0.0,0.0,0.012,,-2.5,1.3,-1.2,0.0,2024,True
85,Bones Hyland,PG,23,LAC,3,12,34.0,0.628,0.714,0.571,0.0,18.7,9.5,67.6,0.0,0.0,10.2,37.1,,0.1,0.0,0.1,0.346,,14.0,2.4,16.3,0.1,2024,True
86,Joe Ingles,SF,36,ORL,7,68,12.1,0.427,0.583,0.167,3.1,18.9,10.7,26.1,2.2,0.0,0.0,8.3,,0.1,0.2,0.3,0.181,,-1.3,4.0,2.6,0.1,2024,True
87,Brandon Ingram,SF,26,NOP,4,145,9.1,0.45,0.145,0.345,0.7,13.8,6.7,15.8,1.4,3.5,12.4,21.9,,-0.2,0.2,-0.1,-0.017,,-1.9,0.7,-1.3,0.0,2024,True
88,Kyrie Irving,SG,31,DAL,22,879,16.6,0.566,0.342,0.183,2.9,7.6,5.3,21.5,1.4,0.8,10.6,24.9,,1.4,0.7,2.1,0.116,,2.6,-0.2,2.4,1.0,2024,True
89,Jonathan Isaac,PF,26,ORL,7,147,13.6,0.552,0.692,0.051,7.3,19.0,12.9,3.3,1.7,5.7,9.1,13.1,,0.1,0.4,0.5,0.165,,0.4,2.2,2.6,0.2,2024,True
90,Andre Jackson Jr.,SG,22,MIL,5,60,14.2,0.545,0.545,0.0,9.5,11.2,10.4,22.1,4.3,1.6,21.4,10.7,,0.1,0.1,0.2,0.123,,-1.7,4.2,2.5,0.1,2024,True
91,Isaiah Jackson,C,22,IND,15,154,18.1,0.56,0.0,0.419,16.4,20.2,18.3,5.9,1.0,7.7,7.3,16.1,,0.3,0.2,0.5,0.149,,-0.9,-0.3,-1.2,0.0,2024,True
92,Reggie Jackson,PG,33,DEN,12,117,5.1,0.43,0.479,0.042,1.9,13.0,7.3,15.2,0.9,0.8,14.1,22.3,,-0.3,0.1,-0.2,-0.074,,-5.0,-1.9,-7.0,-0.1,2024,True
93,LeBron James,PF,39,LAL,5,204,26.0,0.637,0.263,0.232,2.2,15.9,9.2,36.4,3.0,2.1,14.8,29.0,,0.5,0.3,0.8,0.185,,6.6,4.0,10.6,0.7,2024,True
94,Jaime Jaquez Jr.,SF,22,MIA,4,123,9.8,0.463,0.25,0.135,1.8,10.8,6.2,17.1,1.3,1.8,11.3,24.7,,-0.3,0.1,-0.2,-0.079,,-3.7,-0.2,-3.9,-0.1,2024,True
95,DaQuan Jeffries,SG,26,NYK,4,20,11.8,0.5,0.625,0.0,5.6,18.3,11.7,0.0,2.6,0.0,0.0,17.6,,0.0,0.0,0.0,0.064,,-1.2,1.7,0.5,0.0,2024,True
96,Isaiah Joe,SG,24,OKC,10,173,11.5,0.593,0.722,0.0,2.7,11.1,7.0,8.5,1.5,0.0,8.5,15.6,,0.1,0.3,0.4,0.116,,0.2,0.7,0.9,0.1,2024,True
97,James Johnson,PF,36,IND,1,1,-30.4,0.568,,,0.0,0.0,0.0,0.0,0.0,0.0,53.2,85.0,,0.0,0.0,0.0,-1.3,,-32.9,-18.6,-51.6,0.0,2024,True
98,Nikola JokiÄ,C,28,DEN,12,482,30.0,0.625,0.217,0.291,9.9,28.7,19.0,40.3,1.8,1.5,12.7,30.0,,1.9,0.7,2.6,0.259,,9.0,3.8,12.8,1.8,2024,True
99,Damian Jones,C,28,CLE,2,9,5.7,,,,12.9,12.6,12.8,28.5,0.0,11.1,100.0,10.3,,0.0,0.0,0.0,-0.111,,-5.9,4.1,-1.7,0.0,2024,True
100,Derrick Jones Jr.,SF,26,DAL,22,647,11.2,0.577,0.406,0.188,5.9,7.6,6.7,6.0,0.9,3.1,9.4,13.4,,0.7,0.6,1.3,0.095,,-0.5,0.9,0.4,0.4,2024,True
101,Herbert Jones,SF,25,NOP,4,141,9.8,0.562,0.585,0.293,4.3,11.7,7.7,12.1,1.8,0.7,19.2,17.8,,0.0,0.1,0.1,0.036,,-1.5,1.3,-0.2,0.1,2024,True
102,DeAndre Jordan,C,35,DEN,2,13,17.3,0.694,0.0,1.0,8.5,18.0,13.1,0.0,4.0,7.2,0.0,10.2,,0.0,0.0,0.1,0.268,,-5.0,4.7,-0.3,0.0,2024,True
103,Nikola JoviÄ,PF,20,MIA,5,128,15.2,0.601,0.611,0.194,1.8,29.4,15.1,13.9,2.1,2.7,13.3,17.2,,0.1,0.2,0.2,0.082,,0.4,3.4,3.9,0.2,2024,True
104,Maxi Kleber,C,32,DAL,13,219,7.7,0.576,0.718,0.154,2.1,10.9,6.5,8.1,0.7,1.8,10.7,9.7,,0.2,0.2,0.4,0.079,,-1.8,1.5,-0.3,0.1,2024,True
105,Luke Kornet,C,28,BOS,13,133,17.5,0.73,0.0,0.619,16.9,19.3,18.1,7.4,0.4,3.5,18.3,11.4,,0.4,0.2,0.6,0.22,,0.8,0.8,1.7,0.1,2024,True
106,A.J. Lawson,SG,23,DAL,10,30,11.1,0.557,0.667,0.222,3.9,7.6,5.7,0.0,0.0,3.2,0.0,15.0,,0.0,0.0,0.1,0.087,,0.3,-0.3,0.1,0.0,2024,True
107,Kawhi Leonard,SF,32,LAC,2,59,14.3,0.474,0.208,0.125,5.9,24.7,15.4,12.2,3.6,1.7,13.6,22.7,,-0.1,0.1,0.0,0.011,,-0.6,3.1,2.6,0.1,2024,True
108,Caris LeVert,SG,29,CLE,11,278,11.9,0.489,0.324,0.255,3.3,13.1,8.3,14.5,1.7,2.2,11.0,21.4,,-0.2,0.3,0.1,0.019,,-1.7,0.7,-1.0,0.1,2024,True
109,E.J. Liddell,PF,23,NOP,1,3,4.2,,,,0.0,39.3,18.1,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.051,,-4.3,1.3,-3.1,0.0,2024,True
110,Damian Lillard,PG,33,MIL,4,156,24.8,0.64,0.593,0.469,1.5,7.9,4.7,20.7,1.3,0.0,8.4,31.4,,0.6,0.0,0.6,0.2,,7.5,-0.2,7.3,0.4,2024,True
111,Nassir Little,SF,23,PHO,4,14,13.4,0.7,0.6,0.0,0.0,8.8,4.4,0.0,0.0,0.0,0.0,16.8,,0.0,0.0,0.0,0.042,,1.9,-2.1,-0.2,0.0,2024,True
112,Dereck Lively II,C,19,DAL,21,462,19.3,0.677,0.011,0.642,14.3,24.4,19.3,8.7,1.0,4.2,14.7,14.1,,1.2,0.7,1.9,0.2,,1.3,1.9,3.2,0.6,2024,True
113,Chris Livingston,SF,20,MIL,2,6,3.3,0.431,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,,0.0,0.0,0.0,-0.179,,-4.9,-4.3,-9.3,0.0,2024,True
114,Brook Lopez,C,35,MIL,6,200,18.2,0.65,0.307,0.2,6.2,8.4,7.3,8.9,0.0,3.9,9.9,20.8,,0.4,0.0,0.4,0.106,,1.6,-0.2,1.4,0.2,2024,True
115,Kevin Love,PF,35,MIA,5,32,11.6,0.5,0.444,0.0,3.6,49.2,25.7,20.3,0.0,0.0,18.2,16.8,,0.0,0.0,0.0,0.008,,-1.0,1.4,0.4,0.0,2024,True
116,Kyle Lowry,PG,37,PHI,6,175,11.4,0.544,0.75,0.469,4.0,9.3,6.8,19.7,1.8,1.9,9.4,11.2,,0.3,0.1,0.4,0.111,,-1.1,1.7,0.6,0.1,2024,True
117,Terance Mann,SG,27,LAC,6,187,10.4,0.565,0.478,0.174,10.5,7.8,9.1,9.2,0.0,0.0,9.2,13.3,,0.3,0.0,0.3,0.075,,0.1,-1.3,-1.2,0.0,2024,True
118,Naji Marshall,SF,26,NOP,4,84,13.9,0.587,0.536,0.214,3.6,11.2,7.1,10.7,1.2,2.4,6.1,17.0,,0.1,0.1,0.2,0.124,,1.9,1.8,3.7,0.1,2024,True
119,Caleb Martin,SF,28,MIA,5,176,10.6,0.614,0.556,0.111,3.2,9.0,6.0,6.4,0.9,0.0,6.0,14.0,,0.2,0.0,0.2,0.059,,-1.2,0.3,-0.9,0.0,2024,True
120,Tyrese Maxey,PG,23,PHI,6,267,20.7,0.595,0.399,0.203,0.4,12.2,6.5,30.1,1.0,0.6,8.0,28.2,,0.8,0.1,0.9,0.155,,5.2,-0.2,5.0,0.5,2024,True
121,Miles McBride,PG,23,NYK,13,347,11.2,0.553,0.548,0.097,2.3,7.7,4.9,10.8,1.1,0.5,7.8,17.8,,0.4,-0.1,0.3,0.047,,-1.4,-0.2,-1.6,0.0,2024,True
122,CJ McCollum,PG,32,NOP,4,148,9.9,0.474,0.392,0.027,1.4,13.5,7.0,26.3,2.4,2.0,17.6,26.9,,-0.4,0.2,-0.2,-0.059,,-1.4,1.5,0.2,0.1,2024,True
